City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Lebu,CL,2022-06-07 12:30:32,-37.6167,-73.65,53.55,97,81,8.9
59,Torbay,CA,2022-06-07 12:30:32,47.6666,-52.7314,45.28,89,100,18.01
60,Ushuaia,AR,2022-06-07 12:30:33,-54.8,-68.3,44.26,53,75,12.66
61,Solnechnyy,RU,2022-06-07 12:30:33,50.7214,136.6319,57.09,74,100,3.4
62,Panama City,PA,2022-06-07 12:28:48,8.9936,-79.5197,80.44,90,40,2.3
63,Sopelana,ES,2022-06-07 12:30:34,43.3789,-2.9831,74.05,66,75,8.99
64,Wonopringgo,ID,2022-06-07 12:30:34,-6.9833,109.6167,78.12,91,98,1.57
65,Busselton,AU,2022-06-07 12:30:35,-33.65,115.3333,57.94,53,92,17.29
66,Alofi,NU,2022-06-07 12:30:35,-19.0595,-169.9187,75.09,78,39,9.22
67,San Juan,AR,2022-06-07 12:25:44,-31.5375,-68.5364,49.6,43,1,1.32
68,Saint Anthony,US,2022-06-07 12:30:36,45.0205,-93.218,59.14,73,0,5.75
69,Roald,NO,2022-06-07 12:30:36,62.5833,6.1333,68.16,67,20,19.57
70,Klaksvik,FO,2022-06-07 12:30:36,62.2266,-6.589,52.72,72,100,12.44
71,Sao Filipe,CV,2022-06-07 12:30:37,14.8961,-24.4956,77.13,67,0,9.13
72,Pangnirtung,CA,2022-06-07 12:30:37,66.1451,-65.7125,41.0,81,20,5.75
73,Mahina,PF,2022-06-07 12:30:37,-17.5065,-149.489,73.17,83,20,3.44
74,Hami,CN,2022-06-07 12:30:38,42.8,93.45,82.54,14,43,4.14
75,Castro,BR,2022-06-07 12:28:06,-24.7911,-50.0119,60.39,91,99,3.06
76,Bafq,IR,2022-06-07 12:30:38,31.6128,55.4107,101.34,9,11,8.05
77,Botwood,CA,2022-06-07 12:30:39,49.1499,-55.3482,48.11,61,14,11.27
78,Daytona Beach,US,2022-06-07 12:30:39,29.2108,-81.0228,81.0,91,20,3.0
79,Talnakh,RU,2022-06-07 12:30:40,69.4865,88.3972,43.21,68,100,14.88
80,Ribeira Grande,PT,2022-06-07 12:30:40,38.5167,-28.7,66.6,94,75,16.11
81,Hithadhoo,MV,2022-06-07 12:29:24,-0.6,73.0833,83.55,66,91,2.59
82,Kiunga,PG,2022-06-07 12:30:40,-6.1219,141.2906,75.7,93,98,0.81
83,Ponta Do Sol,PT,2022-06-07 12:30:41,32.6667,-17.1,76.71,75,12,2.08
84,Belyy Yar,RU,2022-06-07 12:30:41,53.6039,91.3903,62.49,36,0,8.95
85,Manzanillo,CU,2022-06-07 12:30:42,20.3433,-77.1167,82.45,69,22,4.29
86,Naryan-Mar,RU,2022-06-07 12:30:42,67.6713,53.087,76.23,23,75,7.76
87,Cape Town,ZA,2022-06-07 12:30:36,-33.9258,18.4232,88.21,26,0,13.8
88,Nemuro,JP,2022-06-07 12:30:42,43.3236,145.575,44.53,78,100,13.91
89,Luanda,AO,2022-06-07 12:30:43,-8.8368,13.2343,82.56,51,91,8.3
90,Parsabad,IR,2022-06-07 12:30:43,39.6482,47.9174,88.12,40,0,33.38
91,Ocos,GT,2022-06-07 12:31:44,14.5094,-92.1933,73.58,85,100,6.87
92,Aklavik,CA,2022-06-07 12:31:44,68.2191,-135.0107,33.21,77,28,11.05
93,Pauini,BR,2022-06-07 12:31:44,-7.7136,-66.9764,75.58,89,92,2.86
94,East London,ZA,2022-06-07 12:31:45,-33.0153,27.9116,74.34,43,0,3.44
95,Codrington,AU,2022-06-07 12:31:45,-38.2667,141.9667,50.4,67,100,17.4
96,Vila Velha,BR,2022-06-07 12:31:45,-20.3297,-40.2925,74.95,61,0,3.0
97,Itabira,BR,2022-06-07 12:28:32,-19.6192,-43.2269,63.63,61,50,2.1
98,Jamestown,US,2022-06-07 12:31:46,42.097,-79.2353,63.01,72,100,12.66
99,Mar Del Plata,AR,2022-06-07 12:27:58,-38.0023,-57.5575,48.09,93,0,6.91
100,Mandalgovi,MN,2022-06-07 12:31:47,45.7625,106.2708,59.38,37,49,9.33
101,Khatanga,RU,2022-06-07 12:31:47,71.9667,102.5,55.62,46,98,3.47
102,Macklin,CA,2022-06-07 12:31:47,52.3334,-109.9348,37.74,63,86,4.74
103,Jardim,BR,2022-06-07 12:31:48,-21.4803,-56.1381,71.85,70,61,6.42
104,Hasaki,JP,2022-06-07 12:31:48,35.7333,140.8333,59.4,84,100,19.08
105,Kurri Kurri,AU,2022-06-07 12:31:49,-32.8167,151.4833,52.09,70,4,10.2
106,Baturaja,ID,2022-06-07 12:31:49,-4.1333,104.1667,76.03,92,96,2.21
107,Quthing,LS,2022-06-07 12:31:49,-30.4,27.7003,61.72,34,5,3.74
108,Salym,RU,2022-06-07 12:31:50,60.0625,71.4789,60.4,37,3,6.46
109,Chuy,UY,2022-06-07 12:31:50,-33.6971,-53.4616,56.52,78,0,4.16
110,Ulaanbaatar,MN,2022-06-07 12:31:50,47.9077,106.8832,51.93,76,40,11.18
111,Carnarvon,AU,2022-06-07 12:31:51,-24.8667,113.6333,74.82,65,97,18.95
112,Kaitangata,NZ,2022-06-07 12:31:51,-46.2817,169.8464,47.3,80,100,7.65
113,Bathsheba,BB,2022-06-07 12:31:52,13.2167,-59.5167,84.81,70,20,20.71
114,Westport,US,2022-06-07 12:27:23,41.1415,-73.3579,71.1,73,95,3.0
115,Labytnangi,RU,2022-06-07 12:31:52,66.6572,66.4183,69.49,26,17,7.65
116,Barrow,US,2022-06-07 12:31:52,71.2906,-156.7887,24.82,86,100,13.8
117,Saskylakh,RU,2022-06-07 12:31:53,71.9167,114.0833,51.3,62,22,9.13
118,Andros Town,BS,2022-06-07 12:31:53,24.7,-77.7667,73.36,87,100,11.14
119,Qaqortoq,GL,2022-06-07 12:31:54,60.7167,-46.0333,42.89,79,63,7.2
120,Bluff,NZ,2022-06-07 12:31:54,-46.6,168.3333,50.81,74,13,16.28
121,Hinton,CA,2022-06-07 12:31:54,53.4001,-117.5857,46.62,94,100,4.36
122,Zharkent,KZ,2022-06-07 12:31:55,44.1628,80.0,83.79,22,2,5.53
123,Cidreira,BR,2022-06-07 12:31:55,-30.1811,-50.2056,63.32,87,100,5.41
124,Lorengau,PG,2022-06-07 12:31:55,-2.0226,147.2712,80.65,80,100,6.69
125,Palasa,IN,2022-06-07 12:31:56,18.7667,84.4167,84.72,81,95,12.1
126,Creston,US,2022-06-07 12:31:56,41.0586,-94.3614,64.36,100,100,8.05
127,Lata,PT,2022-06-07 12:31:57,40.1629,-8.3327,81.48,43,88,11.59
128,Camacha,PT,2022-06-07 12:31:57,33.0833,-16.3333,71.02,68,40,12.66
129,Jacareacanga,BR,2022-06-07 12:31:57,-6.2222,-57.7528,81.55,70,43,2.55
130,Mutoko,ZW,2022-06-07 12:31:58,-17.397,32.2268,66.88,43,100,3.74
131,Guerrero Negro,MX,2022-06-07 12:31:58,27.9769,-114.0611,63.84,81,100,13.04
132,Vanavara,RU,2022-06-07 12:31:58,60.34,102.2797,46.11,70,100,9.46
133,Palmer,US,2022-06-07 12:31:59,42.1584,-72.3287,70.57,49,40,6.91
134,Kodiak,US,2022-06-07 12:31:59,57.79,-152.4072,49.51,81,100,0.0
135,Talca,CL,2022-06-07 12:31:03,-35.4333,-71.6667,49.06,92,0,0.58
136,Yulara,AU,2022-06-07 12:32:00,-25.2406,130.9889,50.79,52,0,10.83
137,Lagos,NG,2022-06-07 12:30:25,6.5833,3.75,91.72,55,50,6.58
