City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Flinders,AU,-34.5833,150.8552,50.38,72,2,8.72,clear sky
80,Las Vegas,US,36.175,-115.1372,111.76,9,0,17.27,clear sky
81,Berlevag,NO,70.8578,29.0864,42.8,75,40,17.27,scattered clouds
82,Port Elizabeth,ZA,-33.918,25.5701,61.32,55,0,3.0,clear sky
83,Varnamo,SE,57.186,14.04,59.05,81,20,5.41,few clouds
84,New Norfolk,AU,-42.7826,147.0587,42.93,83,98,1.01,light rain
85,Beyneu,KZ,45.3167,55.2,71.74,37,10,7.16,clear sky
86,Kloulklubed,PW,7.0419,134.2556,73.9,86,100,4.14,heavy intensity rain
87,Guerrero Negro,MX,27.9769,-114.0611,78.22,55,14,13.47,few clouds
88,Bedesa,ET,8.9,40.7833,60.37,82,98,4.74,light rain
89,Clyde River,CA,70.4692,-68.5914,34.03,93,100,10.36,overcast clouds
90,Remedios,CU,22.4947,-79.5458,85.12,66,7,8.21,clear sky
91,Zhigansk,RU,66.7697,123.3711,52.54,80,96,12.75,overcast clouds
92,Oistins,BB,13.0667,-59.5333,77.09,94,75,16.11,broken clouds
93,Upernavik,GL,72.7868,-56.1549,31.51,80,16,10.65,few clouds
94,Mehamn,NO,71.0357,27.8492,42.75,75,75,11.5,broken clouds
95,Wanaka,NZ,-44.7,169.15,39.11,84,64,4.0,broken clouds
96,Souillac,MU,-20.5167,57.5167,71.98,88,75,17.27,light intensity shower rain
97,Sitka,US,57.0531,-135.33,53.49,76,100,11.5,light rain
98,Mandla,IN,22.6,80.3833,87.19,46,78,11.01,broken clouds
99,Nikolskoye,RU,59.7035,30.7861,55.29,84,100,3.02,overcast clouds
100,Itum-Kale,RU,42.7356,45.5758,60.37,88,100,3.42,overcast clouds
101,Srednekolymsk,RU,67.45,153.6833,54.9,62,92,8.01,overcast clouds
102,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,17.27,light intensity shower rain
103,Ahipara,NZ,-35.1667,173.1667,60.73,87,13,16.71,few clouds
104,Avarua,CK,-21.2078,-159.775,78.85,61,20,18.41,few clouds
105,Lebanon,US,36.2081,-86.2911,85.44,56,82,2.17,broken clouds
106,Portland,US,45.5234,-122.6762,66.24,89,100,10.36,moderate rain
107,Gwadar,PK,25.1216,62.3254,82.0,84,57,8.86,broken clouds
108,Prachuap Khiri Khan,TH,12.2167,99.75,74.28,83,100,3.2,overcast clouds
109,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,11.5,scattered clouds
110,Manokwari,ID,-0.8667,134.0833,78.03,68,45,3.49,scattered clouds
111,Zyryanka,RU,65.75,150.85,47.05,77,100,6.91,overcast clouds
112,Kiruna,SE,67.8557,20.2251,50.92,50,0,2.3,clear sky
113,Garwa,IN,24.1833,83.8167,89.2,35,38,2.73,scattered clouds
114,Lebu,CL,-37.6167,-73.65,49.57,78,7,9.24,clear sky
115,Codrington,AU,-38.2667,141.9667,51.98,70,100,18.34,overcast clouds
116,Boende,CD,-0.2167,20.8667,73.6,71,10,1.36,clear sky
117,Marabella,TT,10.3062,-61.4467,83.28,71,92,8.59,overcast clouds
118,Bengkulu,ID,-3.8004,102.2655,73.78,89,92,3.27,overcast clouds
119,Ikom,NG,5.9667,8.7063,74.84,96,99,2.8,light rain
120,Sinnamary,GF,5.3833,-52.95,77.79,87,97,9.71,light rain
121,Ejby,DK,55.4858,12.0817,61.97,82,40,2.3,scattered clouds
122,Hailin,CN,44.5833,129.4167,57.52,87,64,2.35,broken clouds
123,Ust-Maya,RU,60.4167,134.5333,59.95,86,93,7.83,overcast clouds
124,Isangel,VU,-19.55,169.2667,77.11,94,75,6.91,broken clouds
125,Lavrentiya,RU,65.5833,-171.0,45.68,48,21,12.1,few clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,75,75,11.5,broken clouds
